answer_id,meeting_id,need_sin,hit_sin,answer_kr,answer_en
a_wrath_1a,m_wrath_1,-,wrath,막을 생각 없다 — 앞장서라,Nobody will — you lead
a_wrath_1b,m_wrath_1,-,sloth,좀 쉬었다 가지,Let us rest a while first
a_wrath_1c,m_wrath_1,wrath,wrath,나도 그 불을 안다,I know that fire myself
a_wrath_2a,m_wrath_2,-,wrath,먼저 치면 안 무섭다,Not if you swing first
a_wrath_2b,m_wrath_2,-,pride,우리 이름이면 아무도 안 덤빈다,With our name nobody starts one
a_wrath_2c,m_wrath_2,wrath,wrath,나도 참는 법을 못 배웠다,I never learned to hold back either
a_envy_1a,m_envy_1,-,envy,있지 — 그래서 따라잡는 중이다,There are — that is why we are catching up
a_envy_1b,m_envy_1,-,pride,없다 — 우리가 제일이다,None — we are the best there is
a_envy_1c,m_envy_1,envy,envy,나도 그 눈으로 본다,I look at them the same way
a_envy_2a,m_envy_2,-,envy,누가 더 받는지 네가 직접 세라,Count for yourself who gets more
a_envy_2b,m_envy_2,-,greed,돈이면 얼마든지,Name a number and it is yours
a_envy_2c,m_envy_2,envy,envy,나도 남의 몫을 세어 봤다,I have counted another man's share too
a_greed_1a,m_greed_1,-,greed,부르는 대로,Whatever you name
a_greed_1b,m_greed_1,-,pride,우리 이름이 곧 값이다,Our name is the payment
a_greed_1c,m_greed_1,greed,greed,나도 값부터 묻는다,I ask the price first as well
a_greed_2a,m_greed_2,-,greed,선불이다 — 지금 세어라,Before — count it now
a_greed_2b,m_greed_2,-,lust,오늘 밤은 우리가 산다,Tonight is on us
a_greed_2c,m_greed_2,greed,greed,나도 후불은 안 믿는다,I do not trust paying after either
a_sloth_1a,m_sloth_1,-,sloth,마차가 있다,There is a cart
a_sloth_1b,m_sloth_1,-,wrath,걷다 보면 싸움도 붙는다,Walk long enough and a fight finds you
a_sloth_1c,m_sloth_1,sloth,sloth,나도 걷는 건 질색이다,I hate walking too
a_sloth_2a,m_sloth_2,-,sloth,급할 것 없다,There is no hurry
a_sloth_2b,m_sloth_2,-,greed,빨리 갈수록 많이 번다,The sooner we go the more we earn
a_sloth_2c,m_sloth_2,sloth,sloth,나도 서두른 적이 없다,I have never hurried either
a_glut_1a,m_gluttony_1,-,gluttony,먹고 싶은 만큼,As much as you want
a_glut_1b,m_gluttony_1,-,sloth,자리는 넉넉하다,There is plenty of room to sit
a_glut_1c,m_gluttony_1,gluttony,gluttony,나도 그 배를 안다,I know that hunger myself
a_glut_2a,m_gluttony_2,-,gluttony,비면 또 채운다,We fill it again when it empties
a_glut_2b,m_gluttony_2,-,envy,옆집보단 낫다,Deeper than the neighbours
a_glut_2c,m_gluttony_2,gluttony,gluttony,나도 곳간을 비워 봤다,I have emptied a larder myself
a_lust_1a,m_lust_1,-,lust,밤마다 있다,Every night there is
a_lust_1b,m_lust_1,-,gluttony,먹을 건 많다,There is plenty to eat
a_lust_1c,m_lust_1,lust,lust,나도 그걸 찾아다녔다,I went looking for that too
a_lust_2a,m_lust_2,-,lust,붙잡지 않는다 — 곁에 있고 싶게 할 뿐,We do not keep anyone — we make them want to stay
a_lust_2b,m_lust_2,-,wrath,도망치면 쫓아간다,Run and we come after you
a_lust_2c,m_lust_2,lust,lust,나도 그렇게 붙들려 봤다,I have been kept that way myself
a_pride_1a,m_pride_1,-,pride,모르는 자가 없더군,I have yet to meet someone who has not
a_pride_1b,m_pride_1,-,envy,더 유명한 자도 봤다,I have met more famous ones
a_pride_1c,m_pride_1,pride,pride,나도 이름으로 먹고산다,I live off my name as well
a_pride_2a,m_pride_2,-,pride,네 위에 둘 자가 없다,There is no one to put above you
a_pride_2b,m_pride_2,-,sloth,누구 밑이든 편한 자리다,Any place under anyone is a comfortable one
a_pride_2c,m_pride_2,pride,pride,나도 남의 밑은 못 견딘다,I cannot stand being under anyone either
